,id,nom,presentation,presentation_en,clean_presentation_trad
10,17,Zebra3/Buy-sellf,Buy-Sellf is an artist collective which collects and proposes objects that are not mass-produced but are the outcome of artistic processes.,,"['Buy', 'Sellf', 'artist', 'collective', 'collects', 'proposes', 'objects', 'mass', 'produced', 'outcome', 'artistic', 'processes']"
11,9,PLATEFORME,"Plateforme est une structure indépendante, autogérée et autofinancée. Espace de diffusion, de création et de ressource pour l'art contemporain, il fonctionne comme un espace partagé et fédérateur au sein duquel les artistes se réunissent dans la volonté d'une synergie des potentiels imaginatifs, créatifs et des compétences de chacun pour proposer une expérience alternative. Chaque mois, Plateforme présente une exposition d’environ deux semaines suivie d’une programmation plus évènementielle (performances, projections, etc.) tournée essentiellement vers l'expérimentation et la recherche. La sélection est orientée vers des pratiques artistiques exigeantes. Elle propose des projets d'artistes confirmés, nationaux et internationaux et ceux de la scène émergente. Plateforme s'inscrit dans la ville comme une passerelle pouvant rapprocher les disciplines et les formes pour construire, au fil des rencontres et des découvertes, les échanges indispensables à une expérience artistique et sociale intellectuellement et humainement stimulante. Ce projet de lieu d'échange entre artistes, commissaires et publics est porté par L'entreprise, structure parisienne qui regroupe une cinquantaine d’artistes internationaux.","Platform is an independent, self-managed and self-financed. broadcasting space, creation and resource for contemporary art, it functions as a shared space and unifying in which artists gather in the will of synergy potential imaginative, creative and individual skills to offer a alternative experience. Each month, an exhibition platform about two weeks followed by a more event-driven programming (performances, screenings, etc.) mainly oriented towards experimentation and research. The selection is geared towards demanding artistic practices. It offers confirmed artists projects, national and international, and those of the emerging scene. Platform is part of the city as a gateway that can bring disciplines and forms to build, over the meetings and discoveries, exchanges essential for artistic and social experience intellectually and personally stimulating. The proposed place of exchange between artists, curators and the public is carried by the company, Parisian property which includes fifty international artists.","['Platform', 'independent', 'self', 'managed', 'self', 'financed', 'broadcasting', 'space', 'creation', 'resource', 'contemporary', 'art', 'functions', 'shared', 'space', 'unifying', 'artists', 'gather', 'synergy', 'potential', 'imaginative', 'creative', 'individual', 'skills', 'offer', 'alternative', 'experience', 'month', 'exhibition', 'platform', 'weeks', 'followed', 'event', 'driven', 'programming', 'performances', 'screenings', 'etc', 'mainly', 'oriented', 'experimentation', 'research', 'selection', 'geared', 'demanding', 'artistic', 'practices', 'offers', 'confirmed', 'artists', 'projects', 'national', 'international', 'emerging', 'scene', 'Platform', 'city', 'gateway', 'bring', 'disciplines', 'forms', 'build', 'meetings', 'discoveries', 'exchanges', 'essential', 'artistic', 'social', 'experience', 'intellectually', 'personally', 'stimulating', 'proposed', 'place', 'exchange', 'artists', 'curators', 'public', 'carried', 'company', 'Parisian', 'property', 'includes', 'international', 'artists']"
12,92,GERTRUDE CONTEMPORARY,"Gertrude Contemporary is valued nationally and respected internationally as a dynamic centre for the production and presentation of contemporary art.  With the artist placed firmly at the centre of our community, we foster a culture of risk, collaboration and critical-thinking to generate innovative programs that engage audiences in creative exchange.",,"['Gertrude', 'Contemporary', 'valued', 'nationally', 'respected', 'internationally', 'dynamic', 'centre', 'production', 'presentation', 'contemporary', 'art', 'xa', 'artist', 'placed', 'firmly', 'centre', 'community', 'foster', 'culture', 'risk', 'collaboration', 'critical', 'thinking', 'generate', 'innovative', 'programs', 'engage', 'audiences', 'creative', 'exchange']"
13,25,Le générateur,"Inauguré en 2006, libre et indépendant, Le Générateur est un espace de 600 m2 situé à la lisière de Paris 13ème. Délibérément ouvert et minimal dans sa configuration, Le Générateur se dédie à toutes les expressions contemporaines particulièrement la performance et les arts plastiques. Le Générateur donne priorité aux productions de formats artistiques atypiques (temporalité, géographie, contenu) et reste ouvert à toutes formes d’expérimentation multidisciplinaire.","Inaugurated in 2006, free and independent, The Generator is a space of 600 m2 situated on the edge of Paris 13th. Deliberately open and minimal in its configuration, the generator is dedicated to all contemporary expressions especially the performance and visual arts. The generator gives priority to non-standard formats artistic productions (temporality, geography, content) and is open to all forms of interdisciplinary experimentation.","['Inaugurated', 'free', 'independent', 'Generator', 'space', 'm2', 'situated', 'edge', 'Paris', 'Deliberately', 'open', 'minimal', 'configuration', 'generator', 'dedicated', 'contemporary', 'expressions', 'especially', 'performance', 'visual', 'arts', 'generator', 'gives', 'priority', 'non', 'standard', 'formats', 'artistic', 'productions', 'temporality', 'geography', 'content', 'open', 'forms', 'interdisciplinary', 'experimentation']"
14,93,TCB,"TCB art inc. is a space run by artists based in Melbourne, Australia, dedicated to providing a space where young, emerging and established artists alike have the artistic freedom to explore, experiment and take risks within their practices.",,"['TCB', 'art', 'inc', 'space', 'run', 'artists', 'based', 'Melbourne', 'Australia', 'dedicated', 'providing', 'space', 'young', 'emerging', 'established', 'artists', 'alike', 'artistic', 'freedom', 'explore', 'experiment', 'risks', 'practices']"
15,98,Duplex100m2,"Depuis Juillet 2012 Duplex10m2 a une nouvelle adresse dans le centre-ville de Sarajevo et devient la galerie Duplex100m2. La galerie est désormais située sur le quai Obala Kulina Bana, au numéro 22. C’est un appartement de 100m2, au style austro-hongrois et avec vue sur la rivière Miljacka, qui est aujourd’hui dédié à l’art contemporain. L’appartement est divisé en deux parties complémentaires. La première partie, le « séjour », qui conserve le caractère domestique du lieu, fait office de bureau, de salon accueillant rencontres et discussions, et de show room permanent d’œuvres d’artistes que nous défendons. La seconde partie de l’appartement se décline en espaces alloués aux expositions : deux salles d’expositions standard en white-cube.","Duplex10m2 since July 2012 has a new address in the center of Sarajevo and became the Duplex100m2 gallery. The gallery is now located on the quay Obala Kulina Bana at number 22. It is a 100m2 apartment in the Austro-Hungarian style, with views of the river Miljacka, which is now dedicated to contemporary art. The apartment is divided into two complementary parts. The first part, the ""stay"", which keeps the domestic character of the place, as an office, salon hosting meetings and discussions, and show room permanent works of artists we defend. The second part of the apartment is divided into areas allocated to exhibitions: two rooms of standard white-cube exhibitions.","['July', 'new', 'address', 'center', 'Sarajevo', 'gallery', 'gallery', 'located', 'quay', 'Obala', 'Kulina', 'Bana', 'number', 'apartment', 'Austro', 'Hungarian', 'style', 'views', 'river', 'Miljacka', 'dedicated', 'contemporary', 'art', 'apartment', 'divided', 'complementary', 'parts', 'stay', 'keeps', 'domestic', 'character', 'place', 'office', 'salon', 'hosting', 'meetings', 'discussions', 'room', 'permanent', 'works', 'artists', 'defend', 'second', 'apartment', 'divided', 'areas', 'allocated', 'exhibitions', 'rooms', 'standard', 'white', 'cube', 'exhibitions']"
16,95,CONICAL,"Conical is an independent contemporary art space that supports the production and presentation of new work by local and international artists.
With an interest in spatial, temporal and conceptual movements in visual art, Conical’s focus is on site-related activities, particularly those that embrace transient and fragmented responses to place.
Emphasising a reciprocal exchange between artist and organization, Conical acts as an integral agent in the process of realizing exhibitions and projects.
An opportunity is provided for both independent and represented artists to test or consolidate their practice. The provision of time, space and dialogue encourages risk and criticality.
Over the past decade Conical has continued to evolve its operational model in response to the currencies of contemporary discourse. Director, Adrien Allen, shapes a flexible program of exhibitions and projects – both internally curated and application based.",,"['Conical', 'independent', 'contemporary', 'art', 'space', 'supports', 'production', 'presentation', 'new', 'work', 'local', 'international', 'artists', 'n', 'interest', 'spatial', 'temporal', 'conceptual', 'movements', 'visual', 'art', 'Conical', 'focus', 'site', 'related', 'activities', 'particularly', 'embrace', 'transient', 'fragmented', 'responses', 'place', 'n', 'Emphasising', 'reciprocal', 'exchange', 'artist', 'organization', 'Conical', 'acts', 'integral', 'agent', 'process', 'realizing', 'exhibitions', 'projects', 'n', 'opportunity', 'provided', 'independent', 'represented', 'artists', 'test', 'consolidate', 'practice', 'provision', 'time', 'space', 'dialogue', 'encourages', 'risk', 'criticality', 'n', 'past', 'decade', 'Conical', 'continued', 'evolve', 'operational', 'model', 'response', 'currencies', 'contemporary', 'discourse', 'Director', 'Adrien', 'Allen', 'shapes', 'flexible', 'program', 'exhibitions', 'projects', 'internally', 'curated', 'application', 'based']"
17,103,La Cédille qui sourit.,"En 1962, Filliou réalise La galerie Légitime, une galerie personnelle itinérante et miniature, qui est contenue dans une casquette. Filliou y présente ses créations ou celles d’autres artistes (1962).
Installé à Villefranche-sur-Mer, Robert Filliou ouvre en 1965 avec Georges Bretch : La Cédille qui sourit, une non-boutique conçue comme un centre international de création permanente. Y sont nés des de films et des poèmes-objets...","In 1962, realizes Filliou The Legitimate gallery, and a traveling miniature personal gallery, which is contained in a cap. Filliou presents his creations or those of other artists (1962).
Based in Villefranche-sur-Mer, Robert Filliou opens in 1965 with George Bretch: The Cédille smiling, non-shop designed as an international center of permanent creation. Y were born films and poems-objects ...","['realizes', 'Filliou', 'Legitimate', 'gallery', 'traveling', 'miniature', 'personal', 'gallery', 'contained', 'cap', 'Filliou', 'presents', 'creations', 'artists', '\n', 'Based', 'Villefranche', 'sur', 'Mer', 'Robert', 'Filliou', 'opens', 'George', 'Bretch', 'Cédille', 'smiling', 'non', 'shop', 'designed', 'international', 'center', 'permanent', 'creation', 'born', 'films', 'poems', 'objects']"
18,120,SEA Foundation,"SEA Foundation is located in the heart of the “Veemarkt Kwartier” VMK, the area that plays a vital role in shaping new creative activity in Tilburg.SEA Foundation has its own exhibition space: Project Space Tilburg Gust van Dijk. 
SEA Foundation (SEA) is a private, non-profit, artist-run initiative that initiates and coordinates events, residencies and exhibitions. SEA provides on-going space for production, presentation and research.In all their activities the organization is fueled by visual arts. Transgressing the boundaries between cultures and disciplines, SEA Foundation always puts context and the idea before the medium. By working in different cultural contexts worldwide, the foundation generates discussion by exposing and intervening within, as well as being part of, cultural processesthat concentrate on current (emerging) social, political and ecological issues. SEA supports these processes in becoming more productive, visible and solid.",,"['SEA', 'Foundation', 'xa', 'located', 'heart', 'xa', 'Veemarkt', 'Kwartier', 'VMK', 'area', 'plays', 'vital', 'role', 'shaping', 'new', 'creative', 'activity', 'Tilburg', 'SEA', 'Foundation', 'xa', 'xa', 'xa', 'xa', 'exhibition', 'space', 'xa', 'Project', 'Space', 'Tilburg', 'Gust', 'van', 'Dijk', 'xa', 'n', 'SEA', 'Foundation', 'SEA', 'private', 'non', 'profit', 'artist', 'run', 'initiative', 'initiates', 'coordinates', 'events', 'residencies', 'exhibitions', 'SEA', 'provides', 'going', 'space', 'production', 'xa', 'presentation', 'research', 'activities', 'organization', 'fueled', 'visual', 'arts', 'Transgressing', 'boundaries', 'cultures', 'disciplines', 'SEA', 'Foundation', 'puts', 'context', 'idea', 'xa', 'medium', 'working', 'different', 'cultural', 'contexts', 'worldwide', 'foundation', 'generates', 'xa', 'discussion', 'exposing', 'intervening', 'cultural', 'processesthat', 'concentrate', 'current', 'emerging', 'social', 'political', 'ecological', 'issues', 'SEA', 'supports', 'xa', 'processes', 'productive', 'visible', 'solid']"
19,125,Le Hall,"Le Hall est un lieu associatif à but non lucratif qui a pour principale vocation de diffuser à un large public des projets artistiques de formes multiples, un aperçu de la scène musicale et artistique actuelle. Le Hall permet à de jeunes artistes sortant de l'ESADHAR d'avoir une première exposition personnelle. Il propose également une programmation avec des artistes de différents horizons afin d'enrichir la visbilité de l'art contemporain à Rouen.","The Hall is a non-profit association which instead aims primarily to broadcast to a large public art projects in multiple forms, an overview of the current music scene and artistic. The Hall gives young artists out of the ESADHAR to have a first solo exhibition. It also offers a program with artists from different backgrounds to enrich the visbilité of contemporary art in Rouen.","['Hall', 'non', 'profit', 'association', 'instead', 'aims', 'primarily', 'broadcast', 'large', 'public', 'art', 'projects', 'multiple', 'forms', 'overview', 'current', 'music', 'scene', 'artistic', 'Hall', 'gives', 'young', 'artists', 'ESADHAR', 'solo', 'exhibition', 'offers', 'program', 'artists', 'different', 'backgrounds', 'enrich', 'visbilité', 'contemporary', 'art', 'Rouen']"
20,31,PRÉFACE,"1 En littérature, la préface constitue – avec les éléments périphériques de l’œuvre – un outil d’introduction et de précision. Rédigée par un tiers, elle apporte un regard supplémentaire, indique une orientation et soigne les détails pour enfin permettre au lecteur de créer lui-même son espace de questionnements. 2 Préface s’envisage à la fois comme un espace d’accompagnement pour les artistes et le public et comme une fabrique d’intérêts prêts à être suscités et discutés au travers, et tout au long, des expériences d’expositions. 3 Chaque exposition est conçue comme une invitation à formuler et à produire de nouvelles entrées dans un travail artistique.","1 In literature, the preface is - with the peripheral elements of the work - an introduction and precision tool. Written by a third party, it brings additional look, indicates an orientation and cares details to finally allow the reader to create his own questions of space. 2 Preface is considered both as an accompanying space for artists and the public and as a ready interest manufactures to be raised and discussed through and throughout, exhibitions experiences. 3 Each exhibition is conceived as an invitation to formulate and produce new entries in an artistic work.","['literature', 'preface', 'peripheral', 'elements', 'work', 'introduction', 'precision', 'tool', 'Written', 'party', 'brings', 'additional', 'look', 'indicates', 'orientation', 'cares', 'details', 'finally', 'allow', 'reader', 'create', 'questions', 'space', 'Preface', 'considered', 'accompanying', 'space', 'artists', 'public', 'ready', 'interest', 'manufactures', 'raised', 'discussed', 'exhibitions', 'experiences', 'exhibition', 'conceived', 'invitation', 'formulate', 'produce', 'new', 'entries', 'artistic', 'work']"
21,96,Bell Street Project Space,Bell street project space is the curatorial project of artists Alex Lawler and Marita Fraser. From 2006 - 2010 it was an artists run inniative housed in a shop front at 22 glockengasse in the second district of Vienna. From 2011 it exists as an independant mobile project based out of London.,,"['Bell', 'street', 'project', 'space', 'curatorial', 'project', 'artists', 'Alex', 'Lawler', 'Marita', 'Fraser', 'artists', 'run', 'inniative', 'housed', 'shop', 'glockengasse', 'second', 'district', 'Vienna', 'exists', 'independant', 'mobile', 'project', 'based', 'London']"
22,26,Salaisons,"La collaboration avec les artistes, les critiques et les musiciens se fait dans un esprit d'ouverture et de liberté, et dans l'espoir de créer des rencontres, d'offrir des possibilités nouvelles, de faire circuler.","Working with artists, critics and musicians is done in a spirit of openness and freedom, and hope to create meetings, offer new possibilities to circulate.","['Working', 'artists', 'critics', 'musicians', 'spirit', 'openness', 'freedom', 'hope', 'create', 'meetings', 'offer', 'new', 'possibilities', 'circulate']"
